Section,Dimension,Question ID,Sub-Question,Question Text,Data Type,Response Options,Unit,Impact Metric 1,Impact Metric 2,Impact Metric 3,Notes
ECONOMICS,Governance,Q49,l,Total Cost of Risk Events,Currency + Numeric,,"Currency Amount",,,,
ECONOMICS,Governance,Q49,m,Risk Appetite Statement,Multiple Choice,"Documented, In Development, None",,,,,
ECONOMICS,Governance,Q49,n,Risk Tolerance Metrics Defined,Multiple Choice,"Yes, Partial, No",,,,,
ECONOMICS,Governance,Q49,o,Unidentified/Unmitigated Risks Value,Scale 1-5,1-5 scale,,,,,"Qualitative assessment"
ECONOMICS,Governance,Q49,p,Cost of Control Failures,Currency + Numeric,,"Currency Amount",Control Failures Cost,,,Financial impact
ECONOMICS,Governance,Q49,q,Regulatory Fines at Risk,Currency + Numeric,,"Currency Amount",Regulatory Fines at Risk,,,
ECONOMICS,Governance,Q50,a,Timeliness of Financial Reporting,Numeric Input,,Days After Period End,,,,
ECONOMICS,Governance,Q50,b,Disclosure Deficiencies (Past Year),Numeric Input,,Number,,,,
ECONOMICS,Governance,Q50,c,Transparency Index Score,Numeric Input,,/100,,,,"If rated"
ECONOMICS,Governance,Q50,d,Audit Committee Meetings per Year,Numeric Input,,Number,,,,
ECONOMICS,Governance,Q50,e,Investor Relations Events per Year,Numeric Input,,Number,,,,
ECONOMICS,Governance,Q50,f,Response Time to Investor Inquiries,Numeric Input,,Hours or Days,,,,
ECONOMICS,Governance,Q50,g,Website Transparency Score,Scale 1-5,1-5 scale,,,,,"Qualitative assessment"
ECONOMICS,Governance,Q50,h,Investor Complaints (Past Year),Numeric Input,,Number,,,,
ECONOMICS,Governance,Q50,i,ESG Reporting Frequency,Multiple Choice,"Annual, Biannual, None",,,,,
ECONOMICS,Governance,Q50,j,Sustainability Report Published,Multiple Choice,"Yes, No",,,,,
ECONOMICS,Governance,Q50,k,Integrated Reporting,Multiple Choice,"Yes, No",,,,,
ECONOMICS,Governance,Q50,l,Third-Party Assurance on Non-Financial Data,Multiple Choice,"Yes, No",,,,,
ECONOMICS,Governance,Q50,m,Investor Confidence Impact,Scale 1-5,1-5 scale,,,,,"Qualitative assessment"
ECONOMICS,Governance,Q50,n,Enterprise Value Impact from Transparency,Numeric Input,,% of Valuation,,Enterprise Value at Risk,,Financial impact
ECONOMICS,Governance,Q50,o,Regulatory Fines at Risk,Currency + Numeric,,"Currency Amount",Regulatory Fines at Risk,,,
ECONOMICS,Governance,Q51,a,Ethics/Compliance Officer in Place,Multiple Choice,"Yes, No",,,,,
ECONOMICS,Governance,Q51,b,Ethics Training Frequency,Multiple Choice,"Annual, Biannual, Ad Hoc, None",,,,,
ECONOMICS,Governance,Q51,c,% Employees Completed Ethics Training,Numeric Input,,%,,,,
ECONOMICS,Governance,Q51,d,Whistleblower Hotline,Multiple Choice,"Yes, No",,,,,
ECONOMICS,Governance,Q51,e,Whistleblower Reports (Past Year),Numeric Input,,Number,,,,
ECONOMICS,Governance,Q51,f,Ethics Violations (Past Year),Numeric Input,,Number,,,,
ECONOMICS,Governance,Q51,g,Employees Terminated for Ethics Violations,Numeric Input,,Number,,,,
ECONOMICS,Governance,Q51,h,FCPA/Anti-Bribery Incidents,Numeric Input,,Number,,,,
ECONOMICS,Governance,Q51,i,Conflicts of Interest Identified,Numeric Input,,Number,,,,
ECONOMICS,Governance,Q51,j,Governance Rating,Text or Scale,"Score or Strong/Adequate/Weak",,,,"If rated"
ECONOMICS,Governance,Q51,k,Related Party Transactions (Past Year),Numeric Input,,Number,,,,
ECONOMICS,Governance,Q51,l,Value of Related Party Transactions,Currency + Numeric,,"Currency Amount",,,,
ECONOMICS,Governance,Q51,m,Anti-Corruption Policy,Multiple Choice,"Yes, No",,,,,
ECONOMICS,Governance,Q51,n,Code of Conduct,Multiple Choice,"Yes, No",,,,,
ECONOMICS,Governance,Q51,o,Regulatory Fines at Risk,Currency + Numeric,,"Currency Amount",Regulatory Fines at Risk,,,Financial impact
ECONOMICS,Governance,Q51,p,Legal Liabilities at Risk,Currency + Numeric,,"Currency Amount",Legal Liabilities at Risk,,,
ECONOMICS,Governance,Q51,q,Reputation Impact Level,Scale 1-5,1-5 scale,,Reputation at Risk,,,
ECONOMICS,Governance,Q51,r,Enterprise Value Impact,Numeric Input,,% of Valuation,,Enterprise Value at Risk,,
Risk Context,N/A,Q52,,,Overall Risk Appetite,Multiple Choice,"Risk Averse, Conservative, Moderate, Aggressive, Very Aggressive",,,,,"Qualitative assessment of organizational risk tolerance"
Risk Context,N/A,Q53,,,Risk Management Maturity Level,Multiple Choice,"Ad Hoc (Level 1), Basic (Level 2), Defined (Level 3), Managed (Level 4), Optimized (Level 5)",,,,,"Standard maturity assessment"
Risk Context,N/A,Q54,a,,Insurance Policies Held,Multi-Select,"Property & Casualty, Business Interruption, Cyber, D&O, Professional Liability/E&O, Product Liability, Key Person, Trade Credit, Political Risk",,,,,"Select all that apply"
Risk Context,N/A,Q54,b,Property & Casualty - Coverage,Currency + Numeric,,"Currency Amount",,,,"If applicable"
Risk Context,N/A,Q54,c,Business Interruption - Coverage,Currency + Numeric,,"Currency Amount",,,,
Risk Context,N/A,Q54,d,Cyber Insurance - Coverage,Currency + Numeric,,"Currency Amount",,,,
Risk Context,N/A,Q54,e,D&O Insurance - Coverage,Currency + Numeric,,"Currency Amount",,,,
Risk Context,N/A,Q54,f,Professional Liability - Coverage,Currency + Numeric,,"Currency Amount",,,,
Risk Context,N/A,Q54,g,Product Liability - Coverage,Currency + Numeric,,"Currency Amount",,,,
Risk Context,N/A,Q54,h,Key Person Insurance - Coverage,Currency + Numeric,,"Currency Amount",,,,
Risk Context,N/A,Q54,i,Trade Credit Insurance - Coverage,Currency + Numeric,,"Currency Amount",,,,
Risk Context,N/A,Q54,j,Political Risk Insurance - Coverage,Currency + Numeric,,"Currency Amount",,,,
Risk Context,N/A,Q54,k,,Total Annual Insurance Premiums,Currency + Numeric,,"Currency Amount",,,,
Risk Context,N/A,Q54,l,,Insurance Claims (Past 3 Years),Numeric Input,,Number,,,,
Risk Context,N/A,Q54,m,,Total Value of Claims Paid,Currency + Numeric,,"Currency Amount",,,,
Risk Context,N/A,Q54,n,,Claims Outstanding,Currency + Numeric,,"Currency Amount",,,,
Additional Info,N/A,Q55,,,Recent Significant Events,Multi-Select with Details,"Cybersecurity incident/breach, Regulatory investigation, Lawsuit/legal dispute, Product recall, Senior executive departures, M&A activity, Major restructuring, Credit rating downgrade, Financial restatement, Supply chain disruption, Natural disaster, None",,,,,"Select all that apply and provide details for each"
Additional Info,N/A,Q55,a,Cybersecurity Incident - Details,Text Input (Conditional),,Text,,,,"If selected in Q55"
Additional Info,N/A,Q55,b,Cybersecurity Incident - Financial Impact,Currency + Numeric (Conditional),,"Currency Amount",,,,
Additional Info,N/A,Q55,c,Regulatory Investigation - Details,Text Input (Conditional),,Text,,,,
Additional Info,N/A,Q55,d,Regulatory Investigation - Fines,Currency + Numeric (Conditional),,"Currency Amount",,,,
Additional Info,N/A,Q55,e,Lawsuit - Details,Text Input (Conditional),,Text,,,,
Additional Info,N/A,Q55,f,Lawsuit - Potential Exposure,Currency + Numeric (Conditional),,"Currency Amount",,,,
Additional Info,N/A,Q55,g,Product Recall - Details,Text Input (Conditional),,Text,,,,
Additional Info,N/A,Q55,h,Product Recall - Financial Impact,Currency + Numeric (Conditional),,"Currency Amount",,,,
Additional Info,N/A,Q55,i,Executive Departures - Number,Numeric Input (Conditional),,Number,,,,
Additional Info,N/A,Q55,j,Executive Departures - Positions,Text Input (Conditional),,Text,,,,
Additional Info,N/A,Q55,k,M&A Activity - Details,Text Input (Conditional),,Text,,,,
Additional Info,N/A,Q55,l,M&A Activity - Transaction Value,Currency + Numeric (Conditional),,"Currency Amount",,,,
Additional Info,N/A,Q55,m,Restructuring - Details,Text Input (Conditional),,Text,,,,
Additional Info,N/A,Q55,n,Restructuring - Cost,Currency + Numeric (Conditional),,"Currency Amount",,,,
Additional Info,N/A,Q55,o,Credit Downgrade - From,Text Input (Conditional),,Rating,,,,
Additional Info,N/A,Q55,p,Credit Downgrade - To,Text Input (Conditional),,Rating,,,,
Additional Info,N/A,Q55,q,Credit Downgrade - Impact,Text Input (Conditional),,Text,,,,
Additional Info,N/A,Q55,r,Restatement - Details,Text Input (Conditional),,Text,,,,
Additional Info,N/A,Q55,s,Restatement - Amount,Currency + Numeric (Conditional),,"Currency Amount",,,,
Additional Info,N/A,Q55,t,Supply Chain Disruption - Details,Text Input (Conditional),,Text,,,,
Additional Info,N/A,Q55,u,Supply Chain Disruption - Impact,Text or Currency (Conditional),,"Days or Currency",,,,
Additional Info,N/A,Q55,v,Natural Disaster - Details,Text Input (Conditional),,Text,,,,
Additional Info,N/A,Q55,w,Natural Disaster - Financial Impact,Currency + Numeric (Conditional),,"Currency Amount",,,,
Additional Info,N/A,Q56,a,Top Risk Concern #1,Text Input,,Text,,,,Free text description
Additional Info,N/A,Q56,b,Top Risk Concern #2,Text Input,,Text,,,,
Additional Info,N/A,Q56,c,Top Risk Concern #3,Text Input,,Text,,,,
Additional Info,N/A,Q57,,,Additional Comments,Text Area (Optional),,Text,,,,"Free text for any additional risk context"
